변환,원자료
"2004/Q1","6.14"
"2004/Q2","6.01"
"2004/Q3","5.79"
"2004/Q4","5.48"
"2005/Q1","5.49"
"2005/Q2","5.20"
"2005/Q3","5.27"
"2005/Q4","5.60"
"2006/Q1","5.56"
"2006/Q2","5.44"
"2006/Q3","5.81"
"2006/Q4","5.75"
"2007/Q1","6.16"
"2007/Q2","6.14"
"2007/Q3","6.38"
"2007/Q4","6.66"
"2008/Q1","6.83"
"2008/Q2","6.79"
"2008/Q3","7.11"
"2008/Q4","7.27"
"2009/Q1","5.48"
"2009/Q2","5.27"
"2009/Q3","5.50"
"2009/Q4","5.89"
"2010/Q1","5.70"
"2010/Q2","4.82"
"2010/Q3","4.77"
"2010/Q4","4.69"
"2011/Q1","4.85"
"2011/Q2","4.88"
"2011/Q3","4.96"
"2011/Q4","4.99"
"2012/Q1","5.03"
"2012/Q2","4.85"
"2012/Q3","4.45"
"2012/Q4","4.19"
"2013/Q1","4.07"
"2013/Q2","3.79"
"2013/Q3","3.80"
"2013/Q4","3.77"
"2014/Q1","3.72"
"2014/Q2","3.63"
"2014/Q3","3.51"
"2014/Q4","3.34"
"2015/Q1","3.18"
"2015/Q2","2.96"
"2015/Q3","2.94"
"2015/Q4","3.02"
"2016/Q1","3.02"
"2016/Q2","2.86"
"2016/Q3","2.72"
"2016/Q4","3.02"
"2017/Q1","3.19"
"2017/Q2","3.23"
"2017/Q3","3.27"
"2017/Q4","3.38"
"2018/Q1","3.46"
"2018/Q2","3.47"
"2018/Q3","3.36"
"2018/Q4","3.26"
"2019/Q1","3.08"
"2019/Q2","2.88"
"2019/Q3","2.54"
"2019/Q4","2.47"
"2020/Q1","2.50"
"2020/Q2","2.53"
"2020/Q3","2.43"
"2020/Q4","2.54"
"2021/Q1","2.67"
"2021/Q2","2.72"
"2021/Q3","2.90"
"2021/Q4","3.47"
"2022/Q1","3.86"
"2022/Q2","3.95"
