발행회차,발행일자,기준월,초기대출건수,초기대출잔액,전월대출잔액,만기전상환금액,당월총상환금액,만기전상환율,기준월대출잔액,기준월대출잔액비율,이자상환금액
MBS 2015-28,2015-12-11,15-Dec,5762,500150612.2,500150612,2496638,5386494,0.5,494764118,0.1,0
MBS 2015-27,2015-12-04,15-Dec,3958,399185261.2,399185261,3505832,5980376,0.88,393204885,0.1,0
MBS 2015-26,2015-11-20,15-Dec,8625,812993678.4,807420740,4318694,6445850,0.53,800974890,0.1,0
MBS 2015-26,2015-11-20,15-Nov,8625,812993678.4,812993678,2594504,5572938,0.32,807420740,0.1,0
MBS 2015-25,2015-11-06,15-Dec,12355,1210415843,1197152053,8104267,11441845,0.68,1185710208,0.1,0
MBS 2015-25,2015-11-06,15-Nov,12355,1210415843,1210415843,6149294,13263790,0.51,1197152053,0.1,0
MBS 2015-24,2015-10-23,15-Dec,10843,1101389055,1083295882,7032799,10194988,0.65,1073100894,0.1,0
MBS 2015-24,2015-10-23,15-Nov,10843,1101389055,1092820385,6298335,9524503,0.58,1083295882,0.1,0
MBS 2015-24,2015-10-23,15-Oct,10843,1101389055,1101389055,4786884,8568670,0.43,1092820385,0.1,0
MBS 2015-23,2015-10-12,15-Dec,8894,947351914.8,927668090,5202346,7544876,0.56,920123214,0.1,0
MBS 2015-23,2015-10-12,15-Nov,8894,947351914.8,936853913,6654049,9185823,0.71,927668090,0.1,0
MBS 2015-23,2015-10-12,15-Oct,8894,947351914.8,947351915,5255905,10498002,0.55,936853913,0.1,0
MBS 2015-22,2015-09-18,15-Dec,11982,1198597663,1164166656,9332956,12506272,0.8,1151660384,0.1,0
MBS 2015-22,2015-09-18,15-Nov,11982,1198597663,1177752300,10076313,13585644,0.86,1164166656,0.1,0
MBS 2015-22,2015-09-18,15-Oct,11982,1198597663,1189130451,8305197,11378151,0.7,1177752300,0.1,0
MBS 2015-22,2015-09-18,15-Sep,11982,1198597663,1198597663,4903539,9467212,0.41,1189130451,0.1,0
