발행회차,발행일자,가중평균,1년,2년,3년,5년,7년,10년,15년,20년
MBS 2019-18,2019-09-24,1.794,1.521,1.575,1.6,1.74,1.81,1.899,1.949,1.693
MBS 2019-17,2019-09-06,1.588,0,1.509,0,1.588,0,1.623,0,1.549
MBS 2019-16,2019-08-23,1.361,1.275,1.282,1.309,1.365,1.375,1.38,1.38,1.361
MBS 2019-15,2019-08-09,1.374,0,1.325,0,1.372,0,1.389,0,1.369
MBS 2019-14,2019-07-26,1.525,1.411,1.414,1.418,1.503,1.533,1.574,1.574,1.551
MBS 2019-13,2019-06-25,1.636,0,1.552,0,1.606,0,1.651,0,1.668
MBS 2019-12,2019-06-14,1.689,1.575,1.58,1.581,1.676,1.686,1.715,1.745,1.752
MBS 2019-11,2019-05-24,1.88,1.753,1.746,1.776,1.844,1.894,1.925,1.945,1.921
MBS 2019-10,2019-05-10,1.98,0,1.866,0,1.946,0,2.019,0,1.994
MBS 2019-09,2019-04-23,1.992,1.843,1.863,1.877,1.969,1.999,2.054,2.024,2.01
MBS 2019-08,2019-04-05,1.94,1.845,1.83,1.864,1.89,1.93,2.007,2.017,1.991
MBS 2019-07,2019-03-22,2.102,1.943,1.955,1.98,2.047,2.107,2.178,2.168,2.149
MBS 2019-06,2019-03-08,2.19,0,2,0,2.104,0,2.264,0,2.238
MBS 2019-05,2019-02-22,2.145,1.931,1.976,1.98,2.088,2.168,2.235,2.205,2.221
MBS 2019-04,2019-02-15,2.147,0,1.956,0,2.062,0,2.2,0,2.234
MBS 2019-03,2019-01-29,2.17,1.932,1.968,1.987,2.084,2.204,2.253,2.273,2.282
MBS 2019-02,2019-01-11,2.217,0,1.997,0,2.147,0,2.283,0,2.265
MBS 2018-31,2018-12-26,2.224,1.972,1.993,2.019,2.177,2.257,2.324,2.254,2.314
MBS 2018-30,2018-12-14,2.208,2.008,2.004,2.016,2.196,2.236,2.268,2.248,2.258
MBS 2018-29,2018-12-07,2.255,2.004,2.058,2.076,2.184,2.314,2.324,2.324,2.314
MBS 2018-28,2018-11-27,2.396,2.057,2.119,2.161,2.342,2.472,2.483,2.483,2.463
MBS 2018-27,2018-11-16,2.446,0,2.107,0,2.395,0,2.504,0,2.504
MBS 2018-26,2018-10-26,2.493,2.052,2.179,2.229,2.467,2.557,2.577,2.577,2.577
MBS 2018-24,2018-10-16,2.514,2.044,2.163,2.241,2.483,2.593,2.601,2.591,2.591
MBS 2018-23,2018-09-21,2.413,1.976,2.079,2.139,2.387,2.487,2.495,2.495,2.495
MBS 2018-22,2018-09-13,2.255,1.879,1.992,2.055,2.26,2.36,2.391,2.391,2.361
MBS 2018-21,2018-09-07,2.342,0,1.999,0,2.266,0,2.421,0,2.411
MBS 2018-20,2018-08-24,2.416,1.901,1.999,2.109,2.355,2.475,2.534,2.534,2.504
MBS 2018-19,2018-08-10,2.593,1.966,2.123,2.23,2.555,2.665,2.719,2.699,2.689
MBS 2018-18,2018-07-27,2.613,1.967,2.148,2.249,2.597,2.687,2.731,2.711,2.701
MBS 2018-17,2018-07-17,2.614,1.994,2.167,2.269,2.58,2.7,2.717,2.717,2.717
MBS 2018-16,2018-06-28,2.757,0,2.241,0,2.725,0,2.826,0,2.786
MBS 2018-15,2018-06-22,2.74,2.008,2.252,2.354,2.731,2.851,2.835,2.825,2.815
MBS 2018-14,2018-06-12,2.789,2.002,2.24,2.388,2.798,2.928,2.925,2.935,2.925
MBS 2018-13,2018-05-29,2.79,2.005,2.25,2.415,2.82,2.91,2.956,2.936,2.916
MBS 2018-12,2018-05-23,2.877,0,2.318,0,2.837,0,2.996,0,2.996
MBS 2018-11,2018-05-11,2.856,2.032,2.339,2.484,2.888,2.978,2.999,2.999,2.999
MBS 2018-10,2018-04-27,2.913,0,2.312,0,2.842,0,0,0,2.986
MBS 2018-09,2018-04-20,2.726,1.985,2.225,2.379,2.767,2.837,2.854,2.874,2.874
MBS 2018-08,2018-04-06,2.712,2.015,2.254,2.4,2.757,2.817,2.828,2.828,2.828
MBS 2018-06,2018-03-23,2.805,2.095,2.344,2.492,2.877,2.927,2.906,2.906,2.906
MBS 2018-05,2018-03-09,2.831,2.086,2.358,2.52,2.905,2.955,2.915,2.935,2.945
MBS 2018-04,2018-02-23,2.943,0,2.405,0,2.949,0,0,0,2.992
MBS 2018-03,2018-02-09,2.81,2.014,2.362,2.514,2.869,2.909,2.922,2.952,2.952
MBS 2018-02,2018-01-26,2.733,1.968,2.288,2.446,2.799,2.849,2.829,2.849,2.839
MBS 2018-01,2018-01-12,2.768,0,2.307,0,2.807,0,0,0,2.799
MBS 2017-30,2017-12-22,2.628,2.028,2.25,2.365,2.703,2.723,2.706,2.706,2.686
