,기준월,CD금리
1,2004-01,4.26
2,2004-02,4.08
3,2004-03,3.93
4,2004-04,3.91
5,2004-05,3.90
6,2004-06,3.91
7,2004-07,3.91
8,2004-08,3.70
9,2004-09,3.52
10,2004-10,3.52
11,2004-11,3.42
12,2004-12,3.39
13,2005-01,3.47
14,2005-02,3.59
15,2005-03,3.55
16,2005-04,3.52
17,2005-05,3.51
18,2005-06,3.51
19,2005-07,3.51
20,2005-08,3.50
21,2005-09,3.70
22,2005-10,3.93
23,2005-11,3.96
24,2005-12,4.04
25,2006-01,4.15
26,2006-02,4.25
27,2006-03,4.27
28,2006-04,4.33
29,2006-05,4.36
30,2006-06,4.47
31,2006-07,4.63
32,2006-08,4.68
33,2006-09,4.64
34,2006-10,4.57
35,2006-11,4.60
36,2006-12,4.76
37,2007-01,4.92
38,2007-02,4.95
39,2007-03,4.94
40,2007-04,4.95
41,2007-05,5.04
42,2007-06,5.03
43,2007-07,5.05
44,2007-08,5.21
45,2007-09,5.34
46,2007-10,5.34
47,2007-11,5.43
48,2007-12,5.73
49,2008-01,5.81
50,2008-02,5.28
51,2008-03,5.25
52,2008-04,5.38
53,2008-05,5.36
54,2008-06,5.36
55,2008-07,5.52
56,2008-08,5.77
57,2008-09,5.79
58,2008-10,6.03
59,2008-11,5.62
60,2008-12,4.68
61,2009-01,3.22
62,2009-02,2.70
63,2009-03,2.45
64,2009-04,2.42
65,2009-05,2.41
66,2009-06,2.41
67,2009-07,2.41
68,2009-08,2.48
69,2009-09,2.64
70,2009-10,2.79
71,2009-11,2.79
72,2009-12,2.82
73,2010-01,2.88
74,2010-02,2.88
75,2010-03,2.83
76,2010-04,2.51
77,2010-05,2.45
78,2010-06,2.45
79,2010-07,2.58
80,2010-08,2.63
81,2010-09,2.66
82,2010-10,2.66
83,2010-11,2.73
84,2010-12,2.80
85,2011-01,2.93
86,2011-02,3.13
87,2011-03,3.35
88,2011-04,3.40
89,2011-05,3.46
90,2011-06,3.53
91,2011-07,3.59
92,2011-08,3.59
93,2011-09,3.58
94,2011-10,3.58
95,2011-11,3.56
96,2011-12,3.55
97,2012-01,3.55
98,2012-02,3.53
99,2012-03,3.54
100,2012-04,3.54
101,2012-05,3.54
102,2012-06,3.54
103,2012-07,3.34
104,2012-08,3.19
105,2012-09,3.14
106,2012-10,2.93
107,2012-11,2.85
108,2012-12,2.88
109,2013-01,2.86
110,2013-02,2.83
111,2013-03,2.81
112,2013-04,2.80
113,2013-05,2.72
114,2013-06,2.69
115,2013-07,2.68
116,2013-08,2.66
117,2013-09,2.66
118,2013-10,2.66
119,2013-11,2.65
120,2013-12,2.65
121,2014-01,2.65
122,2014-02,2.65
123,2014-03,2.65
124,2014-04,2.65
125,2014-05,2.65
126,2014-06,2.65
127,2014-07,2.65
128,2014-08,2.52
129,2014-09,2.35
130,2014-10,2.21
131,2014-11,2.14
132,2014-12,2.13
133,2015-01,2.13
134,2015-02,2.12
135,2015-03,1.95
136,2015-04,1.81
137,2015-05,1.80
138,2015-06,1.70
139,2015-07,1.65
140,2015-08,1.64
141,2015-09,1.60
142,2015-10,1.58
143,2015-11,1.59
144,2015-12,1.67
145,2016-01,1.67
146,2016-02,1.64
147,2016-03,1.63
148,2016-04,1.61
149,2016-05,1.58
150,2016-06,1.43
151,2016-07,1.36
152,2016-08,1.35
153,2016-09,1.34
154,2016-10,1.35
155,2016-11,1.42
156,2016-12,1.54
157,2017-01,1.50
158,2017-02,1.49
159,2017-03,1.48
160,2017-04,1.43
161,2017-05,1.40
162,2017-06,1.38
163,2017-07,1.39
164,2017-08,1.39
165,2017-09,1.38
166,2017-10,1.38
167,2017-11,1.45
168,2017-12,1.66
169,2018-01,1.66
170,2018-02,1.65
171,2018-03,1.65
172,2018-04,1.65
173,2018-05,1.65
174,2018-06,1.65
175,2018-07,1.65
176,2018-08,1.65
177,2018-09,1.65
178,2018-10,1.68
179,2018-11,1.71
180,2018-12,1.91
181,2019-01,1.87
182,2019-02,1.87
183,2019-03,1.90
184,2019-04,1.89
185,2019-05,1.84
186,2019-06,1.80
187,2019-07,1.68
188,2019-08,1.49
189,2019-09,1.54
190,2019-10,1.46
191,2019-11,1.52
192,2019-12,1.53
193,2020-01,1.47
194,2020-02,1.42
195,2020-03,1.23
196,2020-04,1.10
197,2020-05,1.02
198,2020-06,0.79
199,2020-07,0.79
200,2020-08,0.68
201,2020-09,0.63
202,2020-10,0.63
203,2020-11,0.66
204,2020-12,0.66
205,2021-01,0.68
206,2021-02,0.73
207,2021-03,0.75
208,2021-04,0.74
209,2021-05,0.68
210,2021-06,0.66
211,2021-07,0.69
212,2021-08,0.77
213,2021-09,0.98
214,2021-10,1.08
215,2021-11,1.17
216,2021-12,1.27
217,2022-01,1.39
218,2022-02,1.50
219,2022-03,1.50
220,2022-04,1.64
221,2022-05,1.77
222,2022-06,1.99
