발행일자,발행회차,만기전상환율,가중평균발행금리
2004-12-28,MBS 2004-07,0.34,4.06
2004-11-30,MBS 2004-06,0.48,4.09
2004-11-30,MBS 2004-06,0.33,4.09
2004-10-28,MBS 2004-05,0.86,4.2
2004-10-28,MBS 2004-05,0.06,4.2
2004-10-28,MBS 2004-05,0.02,4.2
2004-09-23,MBS 2004-04,0.8,4.26
2004-09-23,MBS 2004-04,0.04,4.26
2004-09-23,MBS 2004-04,0.74,4.26
2004-09-23,MBS 2004-04,0.38,4.26
2004-08-18,MBS 2004-03,0.87,4.5
2004-08-18,MBS 2004-03,0.63,4.5
2004-08-18,MBS 2004-03,0.56,4.5
2004-08-18,MBS 2004-03,0.44,4.5
2004-08-18,MBS 2004-03,0.0,4.5
2004-07-28,MBS 2004-02,0.64,5.0
2004-07-28,MBS 2004-02,0.49,5.0
2004-07-28,MBS 2004-02,0.8,5.0
2004-07-28,MBS 2004-02,0.41,5.0
2004-07-28,MBS 2004-02,0.39,5.0
2004-07-28,MBS 2004-02,0.18,5.0
2004-06-15,MBS 2004-01,0.7,5.04
2004-06-15,MBS 2004-01,0.6,5.04
2004-06-15,MBS 2004-01,0.42,5.04
2004-06-15,MBS 2004-01,0.29,5.04
2004-06-15,MBS 2004-01,0.42,5.04
2004-06-15,MBS 2004-01,0.36,5.04
2004-06-15,MBS 2004-01,0.51,5.04
2010-12-07,MBS 2010-17,0.36,4.36
2010-12-23,MBS 2010-16,0.93,4.49
2010-11-29,MBS 2010-15,2.09,4.45
2010-11-29,MBS 2010-15,1.16,4.45
2010-11-19,MBS 2010-14,0.38,3.24
2010-11-19,MBS 2010-14,0.26,3.24
2010-10-28,MBS 2010-13,1.76,4.29
2010-10-28,MBS 2010-13,1.82,4.29
2010-10-28,MBS 2010-13,0.79,4.29
2010-09-29,MBS 2010-12,0.37,4.36
2010-09-29,MBS 2010-12,0.27,4.36
2010-09-29,MBS 2010-12,0.38,4.36
2010-09-29,MBS 2010-12,0.0,4.36
2010-09-07,MBS 2010-11,1.14,3.08
2010-09-07,MBS 2010-11,1.41,3.08
2010-09-07,MBS 2010-11,0.88,3.08
2010-09-07,MBS 2010-11,0.94,3.08
2010-08-26,MBS 2010-10,1.08,4.62
2010-08-26,MBS 2010-10,0.94,4.62
2010-08-26,MBS 2010-10,0.98,4.62
2010-08-26,MBS 2010-10,0.56,4.62
2010-08-26,MBS 2010-10,0.47,4.62
2010-07-30,MBS 2010-09,1.98,4.95
2010-07-30,MBS 2010-09,1.1,4.95
2010-07-30,MBS 2010-09,0.61,4.95
2010-07-30,MBS 2010-09,0.89,4.95
2010-07-30,MBS 2010-09,0.88,4.95
2010-07-30,MBS 2010-09,0.56,4.95
2010-08-26,MBS 2010-08,1.8,0.0
2010-08-26,MBS 2010-08,1.97,0.0
2010-08-26,MBS 2010-08,1.66,0.0
2010-08-26,MBS 2010-08,1.37,0.0
2010-08-26,MBS 2010-08,0.79,0.0
2010-07-08,MBS 2010-07,2.11,4.98
2010-07-08,MBS 2010-07,1.13,4.98
2010-07-08,MBS 2010-07,0.95,4.98
2010-07-08,MBS 2010-07,0.63,4.98
2010-07-08,MBS 2010-07,0.72,4.98
2010-07-08,MBS 2010-07,1.37,4.98
2010-06-24,MBS 2010-06,1.39,0.0
2010-06-24,MBS 2010-06,1.97,0.0
2010-06-24,MBS 2010-06,1.68,0.0
2010-06-24,MBS 2010-06,1.22,0.0
2010-06-24,MBS 2010-06,1.17,0.0
2010-06-24,MBS 2010-06,1.53,0.0
2010-06-24,MBS 2010-06,1.33,0.0
2010-06-17,MBS 2010-05,2.7,5.01
2010-06-17,MBS 2010-05,3.01,5.01
2010-06-17,MBS 2010-05,1.08,5.01
2010-06-17,MBS 2010-05,0.79,5.01
2010-06-17,MBS 2010-05,1.13,5.01
2010-06-17,MBS 2010-05,0.96,5.01
2010-06-17,MBS 2010-05,0.85,5.01
2010-04-23,MBS 2010-04,2.13,4.97
2010-04-23,MBS 2010-04,1.44,4.97
2010-04-23,MBS 2010-04,0.72,4.97
2010-04-23,MBS 2010-04,0.68,4.97
2010-04-23,MBS 2010-04,1.05,4.97
2010-04-23,MBS 2010-04,1.21,4.97
2010-04-23,MBS 2010-04,0.9,4.97
2010-04-23,MBS 2010-04,0.57,4.97
2010-04-23,MBS 2010-04,0.78,4.97
2010-03-30,MBS 2010-03,2.34,4.94
2010-03-30,MBS 2010-03,1.77,4.94
2010-03-30,MBS 2010-03,0.97,4.94
2010-03-30,MBS 2010-03,1.0,4.94
2010-03-30,MBS 2010-03,0.71,4.94
2010-03-30,MBS 2010-03,0.98,4.94
2010-03-30,MBS 2010-03,0.69,4.94
2010-03-30,MBS 2010-03,0.7,4.94
2010-03-30,MBS 2010-03,0.59,4.94
2010-03-30,MBS 2010-03,0.33,4.94
2010-02-25,MBS 2010-02,2.42,5.29
2010-02-25,MBS 2010-02,2.74,5.29
2010-02-25,MBS 2010-02,1.13,5.29
2010-02-25,MBS 2010-02,0.78,5.29
2010-02-25,MBS 2010-02,0.99,5.29
2010-02-25,MBS 2010-02,1.28,5.29
