,일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액
0,2004-01-02,106.65,1.44,1.37,105.9,106.77,105.63,154333.0,1560869.0,306663838.0
1,2004-01-05,107.07,0.42,0.39,106.01,107.23,105.96,158920.0,1705932.0,307857626.0
2,2004-01-06,106.9,-0.17,-0.16,108.02,108.02,106.41,224620.0,2102078.0,307383558.0
3,2004-01-07,107.54,0.64,0.6,107.29,108.02,107.15,183345.0,1774276.0,309268428.0
4,2004-01-08,107.2,-0.34,-0.32,108.14,109.31,107.2,236557.0,2909535.0,308272728.0
5,2004-01-09,110.26,3.06,2.85,108.79,110.89,108.75,298061.0,3535353.0,317098472.0
6,2004-01-12,111.1,0.84,0.76,110.05,111.54,109.6,244771.0,2600539.0,319522045.0
7,2004-01-13,110.71,-0.39,-0.35,111.69,111.69,110.18,144121.0,1960608.0,318400690.0
8,2004-01-14,110.98,0.27,0.24,110.56,111.73,110.14,154740.0,2131607.0,319125876.0
9,2004-01-15,110.34,-0.64,-0.58,110.85,111.24,109.82,128530.0,2006286.0,317460142.0
10,2004-01-16,110.63,0.29,0.26,111.48,111.58,110.25,120598.0,1789441.0,318394553.0
11,2004-01-19,111.96,1.33,1.2,111.56,112.29,111.13,162940.0,1738683.0,322246615.0
12,2004-01-20,112.63,0.67,0.6,111.57,113.08,111.49,125032.0,1794117.0,324165650.0
13,2004-01-26,113.68,1.05,0.93,113.51,114.12,112.73,304741.0,2863176.0,327214300.0
14,2004-01-27,113.02,-0.66,-0.58,114.27,114.27,112.68,213785.0,2340283.0,325295969.0
15,2004-01-28,112.59,-0.43,-0.38,112.58,113.9,112.44,201675.0,2467422.0,324081038.0
16,2004-01-29,111.66,-0.93,-0.83,111.46,111.84,110.93,148936.0,1953922.0,321466488.0
17,2004-01-30,110.89,-0.77,-0.69,111.72,112.41,110.54,131807.0,1945942.0,319260966.0
18,2004-02-02,111.68,0.79,0.71,111.16,111.73,110.76,146902.0,1420721.0,321523374.0
19,2004-02-03,109.61,-2.07,-1.85,111.37,111.37,109.32,193341.0,2083125.0,315632961.0
20,2004-02-04,108.96,-0.65,-0.59,109.48,109.96,108.83,145549.0,1721622.0,313771688.0
21,2004-02-05,109.77,0.81,0.74,108.97,109.89,108.81,332628.0,2108360.0,316107893.0
22,2004-02-06,111.16,1.39,1.27,109.98,111.61,109.57,304827.0,2397987.0,320105321.0
23,2004-02-09,113.18,2.02,1.82,112.62,113.51,112.47,211109.0,2051335.0,325784787.0
24,2004-02-10,113.46,0.28,0.25,113.33,113.84,112.9,194959.0,1900398.0,326607104.0
25,2004-02-11,114.92,1.46,1.29,113.98,115.12,113.92,219903.0,2388235.0,330805987.0
