,발행회차,발행일자,기준월,만기전상환율
0,MBS 2004-07,2004-12-28,2004-12,0.34
1,MBS 2004-06,2004-11-30,2004-12,0.48
2,MBS 2004-06,2004-11-30,2004-11,0.33
3,MBS 2004-05,2004-10-28,2004-12,0.86
4,MBS 2004-05,2004-10-28,2004-11,0.06
5,MBS 2004-05,2004-10-28,2004-10,0.02
6,MBS 2004-04,2004-09-23,2004-12,0.8
7,MBS 2004-04,2004-09-23,2004-11,0.04
8,MBS 2004-04,2004-09-23,2004-10,0.74
9,MBS 2004-04,2004-09-23,2004-09,0.38
10,MBS 2004-03,2004-08-18,2004-12,0.87
11,MBS 2004-03,2004-08-18,2004-11,0.63
12,MBS 2004-03,2004-08-18,2004-10,0.56
13,MBS 2004-03,2004-08-18,2004-09,0.44
14,MBS 2004-03,2004-08-18,2004-08,0.0
15,MBS 2004-02,2004-07-28,2004-12,0.64
16,MBS 2004-02,2004-07-28,2004-11,0.49
17,MBS 2004-02,2004-07-28,2004-10,0.8
18,MBS 2004-02,2004-07-28,2004-09,0.41
19,MBS 2004-02,2004-07-28,2004-08,0.39
20,MBS 2004-02,2004-07-28,2004-07,0.18
21,MBS 2004-01,2004-06-15,2004-12,0.7
22,MBS 2004-01,2004-06-15,2004-11,0.6
23,MBS 2004-01,2004-06-15,2004-10,0.42
24,MBS 2004-01,2004-06-15,2004-09,0.29
25,MBS 2004-01,2004-06-15,2004-08,0.42
26,MBS 2004-01,2004-06-15,2004-07,0.36
27,MBS 2004-01,2004-06-15,2004-06,0.51
28,MBS 2010-17,2010-12-07,2010-12,0.36
29,MBS 2010-16,2010-12-23,2010-12,0.93
30,MBS 2010-15,2010-11-29,2010-12,2.09
31,MBS 2010-15,2010-11-29,2010-11,1.16
32,MBS 2010-14,2010-11-19,2010-12,0.38
33,MBS 2010-14,2010-11-19,2010-11,0.26
34,MBS 2010-13,2010-10-28,2010-12,1.76
35,MBS 2010-13,2010-10-28,2010-11,1.82
36,MBS 2010-13,2010-10-28,2010-10,0.79
37,MBS 2010-12,2010-09-29,2010-12,0.37
38,MBS 2010-12,2010-09-29,2010-11,0.27
39,MBS 2010-12,2010-09-29,2010-10,0.38
40,MBS 2010-12,2010-09-29,2010-09,0.0
41,MBS 2010-11,2010-09-07,2010-12,1.14
42,MBS 2010-11,2010-09-07,2010-11,1.41
43,MBS 2010-11,2010-09-07,2010-10,0.88
44,MBS 2010-11,2010-09-07,2010-09,0.94
45,MBS 2010-10,2010-08-26,2010-12,1.08
46,MBS 2010-10,2010-08-26,2010-11,0.94
47,MBS 2010-10,2010-08-26,2010-10,0.98
48,MBS 2010-10,2010-08-26,2010-09,0.56
49,MBS 2010-10,2010-08-26,2010-08,0.47
50,MBS 2010-09,2010-07-30,2010-12,1.98
51,MBS 2010-09,2010-07-30,2010-11,1.1
52,MBS 2010-09,2010-07-30,2010-10,0.61
53,MBS 2010-09,2010-07-30,2010-09,0.89
54,MBS 2010-09,2010-07-30,2010-08,0.88
55,MBS 2010-09,2010-07-30,2010-07,0.56
56,MBS 2010-08,2010-08-26,2010-12,1.8
57,MBS 2010-08,2010-08-26,2010-11,1.97
58,MBS 2010-08,2010-08-26,2010-10,1.66
59,MBS 2010-08,2010-08-26,2010-09,1.37
60,MBS 2010-08,2010-08-26,2010-08,0.79
61,MBS 2010-07,2010-07-08,2010-12,2.11
62,MBS 2010-07,2010-07-08,2010-11,1.13
63,MBS 2010-07,2010-07-08,2010-10,0.95
64,MBS 2010-07,2010-07-08,2010-09,0.63
65,MBS 2010-07,2010-07-08,2010-08,0.72
66,MBS 2010-07,2010-07-08,2010-07,1.37
67,MBS 2010-06,2010-06-24,2010-12,1.39
68,MBS 2010-06,2010-06-24,2010-11,1.97
69,MBS 2010-06,2010-06-24,2010-10,1.68
70,MBS 2010-06,2010-06-24,2010-09,1.22
71,MBS 2010-06,2010-06-24,2010-08,1.17
72,MBS 2010-06,2010-06-24,2010-07,1.53
73,MBS 2010-06,2010-06-24,2010-06,1.33
74,MBS 2010-05,2010-06-17,2010-12,2.7
75,MBS 2010-05,2010-06-17,2010-11,3.01
76,MBS 2010-05,2010-06-17,2010-10,1.08
77,MBS 2010-05,2010-06-17,2010-09,0.79
78,MBS 2010-05,2010-06-17,2010-08,1.13
79,MBS 2010-05,2010-06-17,2010-07,0.96
80,MBS 2010-05,2010-06-17,2010-06,0.85
81,MBS 2010-04,2010-04-23,2010-12,2.13
82,MBS 2010-04,2010-04-23,2010-11,1.44
83,MBS 2010-04,2010-04-23,2010-10,0.72
84,MBS 2010-04,2010-04-23,2010-09,0.68
85,MBS 2010-04,2010-04-23,2010-08,1.05
86,MBS 2010-04,2010-04-23,2010-07,1.21
87,MBS 2010-04,2010-04-23,2010-06,0.9
88,MBS 2010-04,2010-04-23,2010-05,0.57
89,MBS 2010-04,2010-04-23,2010-04,0.78
90,MBS 2010-03,2010-03-30,2010-12,2.34
91,MBS 2010-03,2010-03-30,2010-11,1.77
92,MBS 2010-03,2010-03-30,2010-10,0.97
93,MBS 2010-03,2010-03-30,2010-09,1.0
94,MBS 2010-03,2010-03-30,2010-08,0.71
95,MBS 2010-03,2010-03-30,2010-07,0.98
96,MBS 2010-03,2010-03-30,2010-06,0.69
97,MBS 2010-03,2010-03-30,2010-05,0.7
98,MBS 2010-03,2010-03-30,2010-04,0.59
99,MBS 2010-03,2010-03-30,2010-03,0.33
100,MBS 2010-02,2010-02-25,2010-12,2.42
101,MBS 2010-02,2010-02-25,2010-11,2.74
102,MBS 2010-02,2010-02-25,2010-10,1.13
103,MBS 2010-02,2010-02-25,2010-09,0.78
104,MBS 2010-02,2010-02-25,2010-08,0.99
105,MBS 2010-02,2010-02-25,2010-07,1.28
106,MBS 2010-02,2010-02-25,2010-06,1.21
107,MBS 2010-02,2010-02-25,2010-05,0.65
108,MBS 2010-02,2010-02-25,2010-04,0.69
109,MBS 2010-02,2010-02-25,2010-03,0.75
110,MBS 2010-02,2010-02-25,2010-02,0.34
111,MBS 2010-01,2010-01-28,2010-12,2.48
112,MBS 2010-01,2010-01-28,2010-11,2.42
113,MBS 2010-01,2010-01-28,2010-10,1.81
114,MBS 2010-01,2010-01-28,2010-09,1.26
115,MBS 2010-01,2010-01-28,2010-08,1.61
116,MBS 2010-01,2010-01-28,2010-07,1.79
117,MBS 2010-01,2010-01-28,2010-06,1.13
118,MBS 2010-01,2010-01-28,2010-05,1.28
119,MBS 2010-01,2010-01-28,2010-04,0.96
120,MBS 2010-01,2010-01-28,2010-03,0.76
121,MBS 2010-01,2010-01-28,2010-02,0.65
122,MBS 2010-01,2010-01-28,2010-01,0.33
123,MBS 2009-14,2009-12-18,2010-12,4.79
124,MBS 2009-14,2009-12-18,2010-11,5.52
125,MBS 2009-14,2009-12-18,2010-10,4.84
126,MBS 2009-14,2009-12-18,2010-09,4.12
127,MBS 2009-14,2009-12-18,2010-08,4.79
128,MBS 2009-14,2009-12-18,2010-07,6.29
129,MBS 2009-14,2009-12-18,2010-06,5.07
130,MBS 2009-14,2009-12-18,2010-05,3.66
131,MBS 2009-14,2009-12-18,2010-04,3.87
132,MBS 2009-14,2009-12-18,2010-03,2.41
133,MBS 2009-14,2009-12-18,2010-02,1.94
134,MBS 2009-14,2009-12-18,2010-01,1.36
135,MBS 2009-14,2009-12-18,2009-12,0.93
136,MBS 2009-13,2009-12-23,2010-12,2.03
137,MBS 2009-13,2009-12-23,2010-11,2.34
138,MBS 2009-13,2009-12-23,2010-10,1.94
139,MBS 2009-13,2009-12-23,2010-09,1.03
140,MBS 2009-13,2009-12-23,2010-08,1.37
141,MBS 2009-13,2009-12-23,2010-07,1.88
142,MBS 2009-13,2009-12-23,2010-06,2.01
143,MBS 2009-13,2009-12-23,2010-05,1.71
144,MBS 2009-13,2009-12-23,2010-04,2.13
145,MBS 2009-13,2009-12-23,2010-03,1.35
146,MBS 2009-13,2009-12-23,2010-02,0.86
147,MBS 2009-13,2009-12-23,2010-01,0.98
148,MBS 2009-13,2009-12-23,2009-12,1.36
149,MBS 2009-12,2009-11-20,2010-12,1.43
150,MBS 2009-12,2009-11-20,2010-11,2.19
151,MBS 2009-12,2009-11-20,2010-10,1.74
152,MBS 2009-12,2009-11-20,2010-09,1.12
153,MBS 2009-12,2009-11-20,2010-08,0.89
154,MBS 2009-12,2009-11-20,2010-07,1.23
155,MBS 2009-12,2009-11-20,2010-06,0.92
156,MBS 2009-12,2009-11-20,2010-05,0.65
157,MBS 2009-12,2009-11-20,2010-04,0.77
158,MBS 2009-12,2009-11-20,2010-03,0.68
159,MBS 2009-12,2009-11-20,2010-02,0.56
160,MBS 2009-12,2009-11-20,2010-01,0.4
161,MBS 2009-12,2009-11-20,2009-12,0.42
162,MBS 2009-12,2009-11-20,2009-11,0.34
163,MBS 2009-11,2009-11-10,2010-12,3.63
164,MBS 2009-11,2009-11-10,2010-11,4.38
165,MBS 2009-11,2009-11-10,2010-10,4.07
166,MBS 2009-11,2009-11-10,2010-09,2.49
167,MBS 2009-11,2009-11-10,2010-08,3.82
168,MBS 2009-11,2009-11-10,2010-07,6.08
169,MBS 2009-11,2009-11-10,2010-06,3.82
170,MBS 2009-11,2009-11-10,2010-05,2.93
171,MBS 2009-11,2009-11-10,2010-04,3.17
172,MBS 2009-11,2009-11-10,2010-03,1.71
173,MBS 2009-11,2009-11-10,2010-02,1.18
174,MBS 2009-11,2009-11-10,2010-01,0.85
175,MBS 2009-11,2009-11-10,2009-12,1.25
176,MBS 2009-11,2009-11-10,2009-11,0.77
177,MBS 2009-10,2009-10-16,2010-12,1.94
178,MBS 2009-10,2009-10-16,2010-11,2.15
179,MBS 2009-10,2009-10-16,2010-10,1.88
180,MBS 2009-10,2009-10-16,2010-09,1.72
181,MBS 2009-10,2009-10-16,2010-08,2.35
182,MBS 2009-10,2009-10-16,2010-07,2.51
183,MBS 2009-10,2009-10-16,2010-06,1.17
184,MBS 2009-10,2009-10-16,2010-05,1.18
185,MBS 2009-10,2009-10-16,2010-04,1.1
186,MBS 2009-10,2009-10-16,2010-03,0.94
187,MBS 2009-10,2009-10-16,2010-02,0.77
188,MBS 2009-10,2009-10-16,2010-01,0.48
189,MBS 2009-10,2009-10-16,2009-12,0.64
190,MBS 2009-10,2009-10-16,2009-11,0.62
191,MBS 2009-10,2009-10-16,2009-10,0.59
192,MBS 2009-09,2009-09-29,2010-12,1.14
193,MBS 2009-09,2009-09-29,2010-11,1.1
194,MBS 2009-09,2009-09-29,2010-10,1.22
195,MBS 2009-09,2009-09-29,2010-09,0.82
196,MBS 2009-09,2009-09-29,2010-08,1.13
197,MBS 2009-09,2009-09-29,2010-07,1.85
198,MBS 2009-09,2009-09-29,2010-06,1.32
199,MBS 2009-09,2009-09-29,2010-05,1.15
200,MBS 2009-09,2009-09-29,2010-04,0.58
201,MBS 2009-09,2009-09-29,2010-03,0.79
202,MBS 2009-09,2009-09-29,2010-02,0.69
203,MBS 2009-09,2009-09-29,2010-01,0.73
204,MBS 2009-09,2009-09-29,2009-12,0.58
205,MBS 2009-09,2009-09-29,2009-11,0.5
206,MBS 2009-09,2009-09-29,2009-10,0.55
207,MBS 2009-09,2009-09-29,2009-09,0.03
208,MBS 2009-08,2009-09-15,2010-12,4.37
209,MBS 2009-08,2009-09-15,2010-11,4.91
210,MBS 2009-08,2009-09-15,2010-10,4.22
211,MBS 2009-08,2009-09-15,2010-09,3.39
212,MBS 2009-08,2009-09-15,2010-08,5.01
213,MBS 2009-08,2009-09-15,2010-07,8.16
214,MBS 2009-08,2009-09-15,2010-06,3.86
215,MBS 2009-08,2009-09-15,2010-05,3.56
216,MBS 2009-08,2009-09-15,2010-04,2.95
217,MBS 2009-08,2009-09-15,2010-03,2.37
218,MBS 2009-08,2009-09-15,2010-02,1.57
219,MBS 2009-08,2009-09-15,2010-01,1.52
220,MBS 2009-08,2009-09-15,2009-12,1.29
221,MBS 2009-08,2009-09-15,2009-11,1.47
222,MBS 2009-08,2009-09-15,2009-10,1.8
223,MBS 2009-08,2009-09-15,2009-09,2.23
224,MBS 2009-07,2009-09-18,2010-12,1.73
225,MBS 2009-07,2009-09-18,2010-11,1.38
226,MBS 2009-07,2009-09-18,2010-10,1.31
227,MBS 2009-07,2009-09-18,2010-09,1.06
228,MBS 2009-07,2009-09-18,2010-08,1.27
229,MBS 2009-07,2009-09-18,2010-07,1.16
230,MBS 2009-07,2009-09-18,2010-06,0.97
