,발행회차,발행일자,기준월,만기전상환율,가중평균발행금리,주택종합 매매가격지수,주택종합 전세가격지수,소비자물가지수,15-64 실업자 수,코스피 월별 종가,예금은행 대출금리,평균 LTV,평균 DTI,조기상환율,CD금리,미국 실효금리
0,MBS 2004-01,2004-06-15,2004-06,0.51,5.04,52.743,51.435,72.119,794.0,785.79,5.99,60.66,34.53,0.51,3.91,1.03
1,MBS 2004-01,2004-06-15,2004-07,0.36,5.04,52.603,51.04,72.561,858.0,735.34,5.93,60.67,34.53,0.36,3.91,1.26
2,MBS 2004-02,2004-07-28,2004-07,0.18,5,52.603,51.04,72.561,858.0,735.34,5.93,61.51,24.01,0.18,3.91,1.26
3,MBS 2004-01,2004-06-15,2004-08,0.42,5.04,52.394,50.554,73.191,842.0,803.57,5.8,60.67,34.53,0.42,3.7,1.43
4,MBS 2004-02,2004-07-28,2004-08,0.39,5,52.394,50.554,73.191,842.0,803.57,5.8,61.52,24.03,0.39,3.7,1.43
5,MBS 2004-03,2004-08-18,2004-08,0.0,4.5,52.394,50.554,73.191,842.0,803.57,5.8,60.57,35.55,0.0,3.7,1.43
6,MBS 2004-01,2004-06-15,2004-09,0.29,5.04,52.283,50.314,73.191,784.0,835.09,5.63,60.68,34.55,0.29,3.52,1.61
7,MBS 2004-02,2004-07-28,2004-09,0.41,5,52.283,50.314,73.191,784.0,835.09,5.63,61.53,24.02,0.41,3.52,1.61
8,MBS 2004-03,2004-08-18,2004-09,0.44,4.5,52.283,50.314,73.191,784.0,835.09,5.63,60.57,35.55,0.44,3.52,1.61
9,MBS 2004-04,2004-09-23,2004-09,0.38,4.26,52.283,50.314,73.191,784.0,835.09,5.63,60.54,35.55,0.38,3.52,1.61
10,MBS 2004-01,2004-06-15,2004-10,0.42,5.04,52.157,50.09,73.191,801.0,834.84,5.57,60.69,34.53,0.42,3.52,1.76
11,MBS 2004-02,2004-07-28,2004-10,0.8,5,52.157,50.09,73.191,801.0,834.84,5.57,61.53,24.01,0.8,3.52,1.76
12,MBS 2004-03,2004-08-18,2004-10,0.56,4.5,52.157,50.09,73.191,801.0,834.84,5.57,60.59,35.52,0.56,3.52,1.76
13,MBS 2004-04,2004-09-23,2004-10,0.74,4.26,52.157,50.09,73.191,801.0,834.84,5.57,60.56,35.5,0.74,3.52,1.76
14,MBS 2004-05,2004-10-28,2004-10,0.02,4.2,52.157,50.09,73.191,801.0,834.84,5.57,61.11,36.13,0.02,3.52,1.76
15,MBS 2004-01,2004-06-15,2004-11,0.6,5.04,51.926,49.714,72.75,813.0,878.06,5.47,60.7,34.53,0.6,3.42,1.93
16,MBS 2004-02,2004-07-28,2004-11,0.49,5,51.926,49.714,72.75,813.0,878.06,5.47,61.54,24.03,0.49,3.42,1.93
17,MBS 2004-03,2004-08-18,2004-11,0.63,4.5,51.926,49.714,72.75,813.0,878.06,5.47,60.6,35.49,0.63,3.42,1.93
